date,CPI level,city,category
2024-08-01,113.3260905841,ORURO,ÍNDICE GENERAL
2024-09-01,113.9225948161,ORURO,ÍNDICE GENERAL
2024-10-01,116.2587448744,ORURO,ÍNDICE GENERAL
2024-11-01,119.3110823606,ORURO,ÍNDICE GENERAL
2024-12-01,119.7681875316,ORURO,ÍNDICE GENERAL
2025-01-01,122.1931857053,ORURO,ÍNDICE GENERAL
2025-02-01,123.2082809237,ORURO,ÍNDICE GENERAL
2025-03-01,125.3653895702,ORURO,ÍNDICE GENERAL
2025-04-01,126.2336090351,ORURO,ÍNDICE GENERAL
2025-05-01,129.5682643576,ORURO,ÍNDICE GENERAL
2025-06-01,140.5172853325,ORURO,ÍNDICE GENERAL
2025-07-01,144.6266884783,ORURO,ÍNDICE GENERAL
2025-08-01,146.8236113431,ORURO,ÍNDICE GENERAL
2025-09-01,147.6371933096,ORURO,ÍNDICE GENERAL
2025-10-01,149.5888998945,ORURO,ÍNDICE GENERAL
2025-11-01,150.8419272051,ORURO,ÍNDICE GENERAL
2025-12-01,152.2902712891,ORURO,ÍNDICE GENERAL
2026-01-01,153.2595053655,ORURO,ÍNDICE GENERAL
2026-02-01,152.3727046897,ORURO,ÍNDICE GENERAL
2026-03-01,152.0679188374,ORURO,ÍNDICE GENERAL
2026-04-01,152.3998620659,ORURO,ÍNDICE GENERAL
2026-05-01,154.6395808738,ORURO,ÍNDICE GENERAL
2026-06-01,160.6092894522,ORURO,ÍNDICE GENERAL
2026-07-01,155.403763075,ORURO,ÍNDICE GENERAL
2018-01-01,102.9429722602,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-02-01,103.2841446095,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-03-01,103.9619802501,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-04-01,104.1070089752,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-05-01,104.4651411726,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-06-01,104.3381382395,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-07-01,104.4245781435,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-08-01,105.1515171661,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-09-01,105.4269046552,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-10-01,105.8084047536,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-11-01,105.7818167127,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-12-01,106.1561928354,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-01-01,106.0752483284,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-02-01,106.2499725226,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-03-01,106.4251993036,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-04-01,106.4254996637,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-05-01,106.657038937,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-06-01,106.4245969009,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
